,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Which picture best describes the relationship between Pepper and your country? ,,,,,,,,,,,
Which picture best describes the relationship between Pepper and your national culture? ,,,,,,,,,,,
Which picture best describes the relationship between Pepper and your own preferences? ,,,1.0,-1.0,1.0,-1.0,-1.0,-1.0,,0.9999999999999993,-1.000000000000001
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,,,-1.0,1.0,-1.0,1.0,1.0,1.0,,-0.9999999999999993,1.000000000000001
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,,,1.0,-1.0,1.0,-1.0,-1.0,-1.0,,0.9999999999999993,-1.000000000000001
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,,,-1.0,1.0,-1.0,1.0,1.0,1.0,,-0.9999999999999993,1.000000000000001
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,,,-1.0,1.0,-1.0,1.0,1.0,1.0,,-0.9999999999999993,1.000000000000001
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,,,-1.0,1.0,-1.0,1.0,1.0,1.0,,-0.9999999999999993,1.000000000000001
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,,,,,,,,,,,
mean_cultural_closeness,,,0.9999999999999993,-0.9999999999999993,0.9999999999999993,-0.9999999999999993,-0.9999999999999993,-0.9999999999999993,,1.0,-1.0000000000000018
mean_competence,,,-1.000000000000001,1.000000000000001,-1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,,-1.0000000000000018,1.0
