,Nationality,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5
Nationality,1.0,0.10853957400565664,0.04234436016838142,0.008673178499935336,0.09359420933914897,0.1010876794063627,0.12714820476068775,0.1603640740132379,0.12513601855580564,0.145791044287993
Which picture best describes the relationship between Pepper and your country? ,0.10853957400565664,1.0,0.8618486156276863,0.4407402750788102,0.2219633635548783,0.16834474581208286,0.19176249824627029,0.21673712807917944,0.2758926383057792,0.23907318835871574
Which picture best describes the relationship between Pepper and your national culture? ,0.04234436016838142,0.8618486156276863,1.0,0.6054052136005978,0.33491077800195135,0.23894285801844084,0.32574420841891116,0.34425007146470965,0.3467951993556709,0.31541219538344367
Which picture best describes the relationship between Pepper and your own preferences? ,0.008673178499935336,0.4407402750788102,0.6054052136005978,1.0,0.4820278601727868,0.4285655557676336,0.49295024331904724,0.481848068654049,0.49211333034719806,0.43853686291678834
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.09359420933914897,0.2219633635548783,0.33491077800195135,0.4820278601727868,1.0,0.7359808382641928,0.6331774624894082,0.7947983600085468,0.7180116573155838,0.8716083789743355
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.1010876794063627,0.16834474581208286,0.23894285801844084,0.4285655557676336,0.7359808382641928,1.0,0.7708344931271945,0.7132139617001471,0.685380604106686,0.6441557486546189
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.12714820476068775,0.19176249824627029,0.32574420841891116,0.49295024331904724,0.6331774624894082,0.7708344931271945,1.0,0.5993385411814224,0.6554457217827292,0.5748423323669212
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.1603640740132379,0.21673712807917944,0.34425007146470965,0.481848068654049,0.7947983600085468,0.7132139617001471,0.5993385411814224,1.0,0.6838448857433217,0.78343534475144
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.12513601855580564,0.2758926383057792,0.3467951993556709,0.49211333034719806,0.7180116573155838,0.685380604106686,0.6554457217827292,0.6838448857433217,1.0,0.7356197006815701
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.145791044287993,0.23907318835871574,0.31541219538344367,0.43853686291678834,0.8716083789743355,0.6441557486546189,0.5748423323669212,0.78343534475144,0.7356197006815701,1.0
