,Nationality,Which picture best describes your relationship with Italy or Germany?,Which picture best describes your relationship with Italian or German language?,Which picture best describes your relationship with Italian or German Culture?,I see myself as someone who  [... is reserved ],I see myself as someone who  [... is generally trusting],I see myself as someone who  [... tends to be lazy],"I see myself as someone who  [... is relaxed, handles stress well]",I see myself as someone who  [... has few artistic interests],"I see myself as someone who  [... is ongoing, sociable]",I see myself as someone who  [... tends to find fault with others],I see myself as someone who  [... does a thorough job],I see myself as someone who  [... get nervous easily],I see myself as someone who  [... has active imagination],"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Function successfully]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Act consistenly]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Reliable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Predictable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Dependable]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Follow directions]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Meet the needs of the mission]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Perform exactly as instructed]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide appropriate information]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Communicate with people]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Provide Feedback]","Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Unresponsive]",mean_cultural_closeness_subj,mean_personality_subj,extraversion,agreebleness,coscientiousness,neuroticism,openness,mean_trust_subj,Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your own preferences? ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_cultural_closeness,mean_competence
Nationality,1.0,0.34801680669341933,0.197216242290232,0.2559184224175479,-0.3058708790704156,-0.4424130765560517,-0.030421109839751704,0.16467820766865743,-0.2997325010613854,-1.2175124920539654e-16,0.2540429395319822,-0.32434184837821844,-0.13050675797803438,-0.027059990848312593,0.3612525529827762,-0.050279331782371615,0.03563907525461851,0.2663616352837935,-0.08394384210560647,0.07866028229652759,0.20166537242727417,0.308360368346245,0.09030719109143312,0.016199308654178082,-0.05321883133548319,0.022585897110504686,0.27610798288754335,-0.14565330195582524,0.4844472404876339,-0.4672443205845334,0.23935437995561368,-0.4618857107527533,-0.13509395646699562,-0.17052191367457822,0.2018477805644745,-0.014032165160227776,0.13231403100624073,-0.06328511877070542,0.12007782303691629,-0.02530902210211079,0.0847488060301536,0.007639154141901806,0.2378057047371906,0.18742660199555733,0.2290737190207616,0.06536588339422175,0.16373122085191386
Which picture best describes your relationship with Italy or Germany?,0.34801680669341933,1.0,-0.08812102431690684,0.10482137352305537,0.10572265893523564,-0.13330209431537143,0.1785955161767906,0.18353846042115773,0.05651185747872127,0.07486179599118173,0.17053162733974347,0.10218988991416111,-0.23559414580926064,-0.15270565401244304,0.2059270642431797,0.037574765346045015,0.07055397232689328,0.3182048296937092,0.16045155123088636,0.149222003999855,0.15859184723763978,0.26078821368833927,-0.1488056503267662,-0.28840388959984753,-0.3174661010976271,0.009250935259013236,0.13990613892070283,-0.2347038693299472,0.7549801343950133,0.1186005369332913,-0.04467505386242843,-0.18918331144126524,-0.09389842426831202,-0.2399343455843592,-0.12860498436298612,-0.29768954394403874,0.2296235660036096,0.106563655622345,0.3460219597238682,-0.11633289227045564,-0.0717385045923726,0.21902395126576976,0.13104013911228568,-0.08602357796449407,-0.005392303333873266,0.24410810982880254,0.07634631269640672
Which picture best describes your relationship with Italian or German language?,0.197216242290232,-0.08812102431690684,1.0,-0.14300193053909363,0.08496546766978502,-0.1360049588616045,0.43462554746250787,-0.34724713046398464,-0.2577518632200357,-0.3760231942619374,-0.40166515235153677,-0.4163347624210691,0.1491637127837885,0.07835201440083939,-0.09403188351217272,-0.1790555498434562,-0.08757800948528044,0.0019027506256025692,-0.15351082623219722,-0.06813881482327874,-0.1032617617542519,-0.08223667160069179,-0.08684490535747036,-0.2399560285481617,-0.003743192410406719,-0.32268408181997865,-0.0910951895499336,-0.27787033892857793,0.2953081261938801,-0.36555450067749745,-0.25764244200851527,0.11330877015494516,-0.5558640729453784,0.2898267918981955,0.23188658352698072,-0.20698027339064673,-0.29036035109749625,-0.3713053861762729,-0.49991813522913636,-0.4146223888407592,-0.4087673720184013,-0.41036783660428555,-0.3055934622263074,-0.31905209245242416,-0.3033519071842403,-0.4183784873841265,-0.42621736193372456
Which picture best describes your relationship with Italian or German Culture?,0.2559184224175479,0.10482137352305537,-0.14300193053909363,1.0,-0.0364967013007857,0.06637131594327624,-0.2316133425418109,0.1047870774819215,-0.3182430176593472,0.19879361243169416,0.2571224014118678,-0.07688609183497802,-0.14720336853227806,0.32048056057713153,-0.04206416376115617,-0.14007414405273388,0.15989720027005142,0.04979375334160284,0.15216966080695293,0.08105221444457097,-0.23591451404852684,-0.0807418374061183,0.19418782993270337,-0.28190770302218704,-0.16622993268057487,-0.11054531438537875,0.1320950135815273,0.10561352922658435,0.5683209586076268,-0.0178943600345812,0.12961806097662845,-0.08781290715300959,0.14916168066426588,-0.1440110071462238,0.4146874291635314,0.06264278348946202,0.1492418581992599,0.04588817864853385,-0.0018525253888723254,-0.05199627799134956,-0.23812473855231345,-0.35589150868605396,0.14913162285693637,-0.23566234956781076,0.06443606517768997,0.06482229331294236,-0.1234176597854898
I see myself as someone who  [... is reserved ],-0.3058708790704156,0.10572265893523564,0.08496546766978502,-0.0364967013007857,1.0,0.10543364417268745,-0.1261466044711427,-0.09556167637426556,0.05354875276339124,-0.16240734832202264,0.09196652571635663,-0.09853053632757995,0.34789483871019194,-0.11220911993402466,-0.094763907868668,-0.10032711896329802,-0.13546851700727294,-0.36981577134605687,-0.11602941404466119,0.04414452779292618,0.16459361326198033,-0.005074094202282437,-0.007378817998435769,-0.21239572721933878,-0.10912819341048396,-0.21407196661852326,-0.08318598442132481,-0.04047821781525185,0.09488169220975813,0.46845962624029547,-0.865094989758362,0.028918465111027906,0.053351561222903264,0.2495646319818229,-0.1032195499735056,-0.09691109779578268,-0.2124984116930966,-0.16661785998886677,-0.4187205311635566,-0.33483541303960834,-0.34138542214374556,-0.12444585557524945,-0.34689205918083565,-0.32757286590889617,-0.44921161040235574,-0.28775484157545034,-0.3715647089974122
I see myself as someone who  [... is generally trusting],-0.4424130765560517,-0.13330209431537143,-0.1360049588616045,0.06637131594327624,0.10543364417268745,1.0,-0.29142139378011744,-0.1778070994916321,0.04997205276989243,0.159979598105787,-0.21824378993227203,0.3251431281593853,0.06346191189071825,0.11404070389717741,-0.08719255844415584,0.2553040561471862,0.36133716812631744,-0.1853818973686337,0.35921268589680777,-0.14011714832939098,0.004184082106086344,0.0991318389578818,-0.30164339562463505,0.3617249875378639,-0.2396782464524399,-0.11202570037742775,0.1395236765429457,-0.13430948441869883,-0.12104270036467624,0.4185752806206831,-0.0011786488190287162,0.8545853018532019,0.39534966565992113,0.14125700198553306,0.029194262675465047,-0.2689504867822914,0.3763218390341589,0.4318596129998781,0.24449511845497895,0.1632741129824564,-0.26869608260795474,-0.19167926063396967,0.10001166870873049,-0.13574116252465387,-0.058384962733423355,0.3724531899303213,-0.06292771348601642
I see myself as someone who  [... tends to be lazy],-0.030421109839751704,0.1785955161767906,0.43462554746250787,-0.2316133425418109,-0.1261466044711427,-0.29142139378011744,1.0,0.17076410494781055,-0.23805002827105776,-0.4253519567593142,-0.18270108964767912,-0.1330600162566009,-0.2699709085110179,-0.05597725686242526,-0.03681951788122978,-0.08827131297584503,0.06047692805908291,0.24779087957725102,0.21163497370329726,0.39662865929763563,-0.014601024980253072,0.10299188047931827,-0.1141409239548081,-0.23624877442172026,-0.0674832748601517,0.13907091700234137,-0.055202973586052424,-0.2852619604784322,0.19401277829557162,-0.12507398910372197,-0.11751668355886857,-0.11797763152246767,-0.8729160083380813,-0.2513327212066825,0.14052145902153362,-0.21132365246028365,-0.2771308663195131,-0.3191024883039931,-0.12386830640966696,-0.07117026953688228,0.0682082533490795,-0.04666712757884474,0.014126463453994764,-0.015467446146601555,0.11565900816443192,-0.25353409660977316,-0.009610582079257291
"I see myself as someone who  [... is relaxed, handles stress well]",0.16467820766865743,0.18353846042115773,-0.34724713046398464,0.1047870774819215,-0.09556167637426556,-0.1778070994916321,0.17076410494781055,1.0,-0.21650505519532368,0.04699086422959845,-0.048985763271501975,0.1240131847327731,-0.5107549044230867,0.2319038065448472,0.14733915861997718,-0.048985763271502,-0.21761635277242786,0.24396528462721673,0.014387954991864738,0.30512696054933414,0.2857406224692584,0.10937613062912555,0.060847034276300144,0.1932484181169615,-0.06034352275194867,0.3629266411838225,0.19222668585453417,0.14239263238822267,0.04050446059681493,0.22954102871344137,0.09866840694854705,-0.10523432021368281,-0.07683274117835323,-0.8795733046641159,0.29007970942180145,0.11158790513321136,-0.06753181356359336,-0.16451366177199897,0.038535220427698344,-0.049163552282154015,0.09223962769403986,-0.0955824946121321,0.10722408997642033,-0.15994087171436497,-0.0013539028311675267,-0.06755170367167276,-0.025674597327724966
I see myself as someone who  [... has few artistic interests],-0.2997325010613854,0.05651185747872127,-0.2577518632200357,-0.3182430176593472,0.05354875276339124,0.04997205276989243,-0.23805002827105776,-0.21650505519532368,1.0,-0.09978331502165064,0.21574395598823748,0.17707162371703858,0.010555412516839271,-0.17399508621029325,-0.2524066713692033,0.0606779876216918,-0.0008107018560128548,-0.19767736050314605,-0.10693296540781567,-0.4068369475354202,-0.008807797112029376,-0.09664346046824632,-0.140540257453919,0.16744398208992006,0.11472747344203643,0.22400544512741682,-0.35327778702487755,0.0870445691359949,-0.2479945869178509,0.32394977268018854,-0.09262928187718368,-0.07790386315359855,0.2793688476672965,0.13507896484598816,-0.8250650776585607,0.007436284292546377,0.2600485183786791,0.3877273583009814,0.24455436540041198,0.17271551839208094,0.18430037604271396,0.4754404266129301,0.13021783916369117,0.16473427104609437,-0.07546773222426328,0.31837454534985105,0.23293563883474722
"I see myself as someone who  [... is ongoing, sociable]",-1.2175124920539654e-16,0.07486179599118173,-0.3760231942619374,0.19879361243169416,-0.16240734832202264,0.159979598105787,-0.4253519567593142,0.04699086422959845,-0.09978331502165064,1.0,0.1480025739801909,0.1744227061574279,1.8007942255381635e-16,0.2522375661254061,-1.407073148266859e-16,0.037000643495047676,-0.24915511755649009,-0.08728836091100614,-0.07654655446197427,-3.2936646610947095e-16,-0.300769253015478,-0.26947095034092766,-0.02177046581192758,-0.18120069045472875,0.05723943812052391,-0.03947487280100886,0.1591990974128934,0.35199519265926504,7.795341945413747e-17,0.2530415022098229,0.6354464059473942,0.03937894344219414,0.42929578590392875,-0.028050115444756035,0.2170970924286725,0.14621242426217318,0.3288946088448689,0.29495361658031277,0.2857776862000798,-0.0884685185016692,-0.14812111831155517,0.0267029143525691,-0.08986569254520452,-0.083636916609541,-0.13805770913922602,0.32257213208188484,-0.041337524088529094
