,,0
Which picture best describes the relationship between Pepper and your national culture? ,mean_cultural_closeness,0.9454355001110145
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your national culture? ,0.9454355001110145
I see myself as someone who  [... tends to be lazy],coscientiousness,0.8928682203936601
coscientiousness,I see myself as someone who  [... tends to be lazy],0.8928682203936601
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",mean_trust_subj,0.8907582670633905
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Malfunction]",0.8907582670633905
Which picture best describes your relationship with Italy or Germany?,mean_cultural_closeness_subj,0.8824822674855539
mean_cultural_closeness_subj,Which picture best describes your relationship with Italy or Germany?,0.8824822674855539
neuroticism,I see myself as someone who  [... get nervous easily],0.8820125861816148
I see myself as someone who  [... get nervous easily],neuroticism,0.8820125861816148
mean_cultural_closeness,Which picture best describes the relationship between Pepper and your country? ,0.8800948356549277
Which picture best describes the relationship between Pepper and your country? ,mean_cultural_closeness,0.8800948356549277
Which picture best describes the relationship between Pepper and your national culture? ,Which picture best describes the relationship between Pepper and your country? ,0.8701972060580773
Which picture best describes the relationship between Pepper and your country? ,Which picture best describes the relationship between Pepper and your national culture? ,0.8701972060580773
neuroticism,"I see myself as someone who  [... is relaxed, handles stress well]",0.8689685742181497
"I see myself as someone who  [... is relaxed, handles stress well]",neuroticism,0.8689685742181497
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,0.8627257539690469
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .1,mean_competence,0.8627257539690469
extraversion,I see myself as someone who  [... is reserved ],0.8611236391278536
I see myself as someone who  [... is reserved ],extraversion,0.8611236391278536
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.8601820078591259
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.8601820078591259
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,0.8570682084287192
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .5,mean_competence,0.8570682084287192
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,mean_competence,0.855347537934504
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .3,0.855347537934504
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,0.8549673929924213
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. ,mean_competence,0.8549673929924213
extraversion,"I see myself as someone who  [... is ongoing, sociable]",0.850239540113691
"I see myself as someone who  [... is ongoing, sociable]",extraversion,0.850239540113691
I see myself as someone who  [... has few artistic interests],openness,0.8497803219437563
openness,I see myself as someone who  [... has few artistic interests],0.8497803219437563
mean_trust_subj,"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",0.8483987247235417
"Consider expectations toward Pepper robot and express how much do you agree with the properties attributed to it (scale: 0%-100%, scroll in to see all the options).  [Have errors]",mean_trust_subj,0.8483987247235417
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,mean_competence,0.8443525978136945
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .4,0.8443525978136945
mean_cultural_closeness_subj,Which picture best describes your relationship with Italian or German Culture?,0.8410757907417125
Which picture best describes your relationship with Italian or German Culture?,mean_cultural_closeness_subj,0.8410757907417125
mean_competence,Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,0.8225250908780506
Please rate your impression of the robot you just interacted with by selecting a point on the scale between the two adjectives. There are no right or wrong answers. .2,mean_competence,0.8225250908780506
agreebleness,I see myself as someone who  [... is generally trusting],0.8093416191314976
I see myself as someone who  [... is generally trusting],agreebleness,0.8093416191314976
